Account Name,End User ID,Date (UTC),Question Date & Time (UTC),Survey Name,Survey ID,Question,Answer,Answer Freetext,User Name,User Type,User Role,User Status,User Info,Number of Survey Submittals,Number of Survey Plays
shhc,shhc_71103B52-7AC5-4EBD-ACF3-1DD2D9EDF80C,2023-12-12,2023-12-12 16:44:34,Sondage Produit Service Client,101436,How likely are you to recommend MEDFAR to a colleague?,6,,2023-10-10T15:47:33.270Z,GeneralPractitioner,Practician,CA,BC,1,1
shhc,shhc_CA8873E0-2AEB-4B89-8DB5-E1D3205E1B3B,2023-12-12,2023-12-12 19:45:11,Sondage Produit Service Client,101436,How likely are you to recommend MEDFAR to a colleague?,5,,2023-09-22T16:44:02.070Z,GeneralPractitioner,Practician,CA,BC,1,1
shhc,shhc_A86DA589-AEFC-445E-AC98-88A8E6ECCB2B,2023-12-12,2023-12-12 17:03:16,Sondage Produit Service Client,101436,How likely are you to recommend MEDFAR to a colleague?,3,,2023-10-13T16:08:10.777Z,GeneralPractitioner,Practician,CA,BC,1,1
shhc,shhc_4EBEED24-396A-47B9-AC4D-B1C81375EEA3,2023-12-12,2023-12-12 23:53:11,Sondage Produit Service Client,101436,How likely are you to recommend MEDFAR to a colleague?,1,,2023-06-07T19:35:57.560Z,MedicalOffice Assistant,Practician,CA,BC,1,1
gmfujr,gmfujr_716A0B19-57F5-4178-A123-AFC1C41C887E,2023-12-12,2023-12-12 22:05:08,Sondage Produit Service Client,101436,How likely are you to recommend MEDFAR to a colleague?,7,,2023-10-10T18:18:50.727Z,MedicalOffice Assistant,Practician,CA,QC,1,1
drpwong,drpwong_2FD86C9C-D9C7-4CE5-B073-C20269D8809F,2023-12-11,2023-12-11 00:04:57,Sondage Training  DT,95966,How likely are you to recommend MEDFAR to a colleague?,10,,2023-11-23T18:01:11.297Z,MedicalOffice Assistant,Practician,CA,BC,1,1
kebaowek,kebaowek_D51AE8F6-3638-4866-82C6-FEA38E64CD16,2023-12-11,2023-12-11 14:58:36,Sondage Training  DT,95966,How likely are you to recommend MEDFAR to a colleague?,7,,2023-11-27T14:12:50.113Z,MedicalOffice Assistant,Practician,CA,QC,1,1
gmfujr,gmfujr_FB484874-F125-4AB5-8931-6756329CD2AE,2023-12-11,2023-12-11 12:13:12,Sondage Produit Service Client,101436,How likely are you to recommend MEDFAR to a colleague?,5,,2023-09-29T15:53:58.273Z,MedicalOffice Assistant,Practician,CA,QC,1,1
gmfujr,gmfujr_21D1E165-395F-4A85-A591-FF260FA565B9,2023-12-11,2023-12-11 02:58:16,Sondage Produit Service Client,101436,How likely are you to recommend MEDFAR to a colleague?,8,,2023-07-13T18:45:24.887Z,GeneralPractitioner,Practician,CA,QC,1,1
gmfujr,gmfujr_227875FD-E8FE-4416-A5CF-DBB2C138E804,2023-12-11,2023-12-11 18:19:41,Sondage Produit Service Client,101436,How likely are you to recommend MEDFAR to a colleague?,1,,2023-10-28T17:45:44.237Z,RegisteredNurse (Technician),Practician,CA,QC,1,1
gmfujr,gmfujr_0B95F70F-6401-410D-9675-D83F7D8F0D83,2023-12-11,2023-12-11 13:28:45,Sondage Produit Service Client,101436,How likely are you to recommend MEDFAR to a colleague?,8,,2023-09-08T18:22:23.483Z,GeneralPractitioner,Practician,CA,QC,1,1
gmfujr,gmfujr_DDDD35D4-44FE-444D-A066-AE0D51E874A1,2023-12-11,2023-12-11 12:34:42,Sondage Produit Service Client,101436,How likely are you to recommend MEDFAR to a colleague?,0,,2023-09-12T17:06:19.250Z,GeneralPractitioner,Practician,CA,QC,1,1
gmfujr,gmfujr_340359DA-95B2-4A65-9A67-66014A1A8047,2023-12-11,2023-12-11 12:47:31,Sondage Produit Service Client,101436,How likely are you to recommend MEDFAR to a colleague?,6,,2023-09-07T18:59:01.930Z,MedicalOffice Assistant,Practician,CA,QC,1,1
gmfujr,gmfujr_A2BECBD8-2227-4610-9847-972047DB1E19,2023-12-10,2023-12-10 16:17:02,Sondage Produit Service Client,101436,How likely are you to recommend MEDFAR to a colleague?,0,,2023-09-14T18:18:05.097Z,GeneralPractitioner,Practician,CA,QC,1,1
gmfujr,gmfujr_B6F3D760-9E3C-46E5-983E-7F771131E1E9,2023-12-10,2023-12-10 18:45:07,Sondage Produit Service Client,101436,How likely are you to recommend MEDFAR to a colleague?,10,,2023-09-01T19:26:57.993Z,GeneralPractitioner,Practician,CA,QC,1,1
gmfujr,gmfujr_E7407319-B466-4C7B-A73B-6BE1B5A1A818,2023-12-10,2023-12-10 20:10:08,Sondage Produit Service Client,101436,How likely are you to recommend MEDFAR to a colleague?,5,,2023-10-26T19:25:08.440Z,RegisteredNurse (Technician),Practician,CA,QC,1,1
drpwong,drpwong_E86175B7-441A-490B-B22C-5F098B3E48D1,2023-12-08,2023-12-08 16:46:42,Sondage Training  DT,95966,How likely are you to recommend MEDFAR to a colleague?,5,,2023-11-20T22:31:35.997Z,GeneralPractitioner,Practician,CA,BC,1,1
drpwong,drpwong_EB243DED-BF60-4BFF-84DC-E636F8CBF317,2023-12-07,2023-12-07 16:56:23,Sondage Training  DT,95966,How likely are you to recommend MEDFAR to a colleague?,10,,2023-11-23T18:00:15.937Z,MedicalOffice Assistant,Practician,CA,BC,1,1
ccsmtl,ccsmtl_75E2C48C-EBEE-48D0-88E2-13991E649D80,2023-12-05,2023-12-05 14:03:44,Sondage Produit Service Client,101436,How likely are you to recommend MEDFAR to a colleague?,9,,2023-10-02T01:39:42.387Z,Specialist,Practician,CA,QC,1,1
ccsmtl,ccsmtl_9E3FE7E8-7FBB-4C40-8167-FF628B15E3C7,2023-12-05,2023-12-05 14:24:01,Sondage Produit Service Client,101436,How likely are you to recommend MEDFAR to a colleague?,7,,2023-09-22T12:01:08.093Z,RegisteredNurse (Technician),Practician,CA,QC,1,1
ccsmtl,ccsmtl_87E0A0FA-E868-4E49-B923-7B70C70D3787,2023-12-05,2023-12-05 14:16:38,Sondage Produit Service Client,101436,How likely are you to recommend MEDFAR to a colleague?,3,,2023-11-03T12:44:00.403Z,Specialist,Practician,CA,QC,1,1
ccsmtl,ccsmtl_8991F0BE-078E-45A9-8602-097E4A4FC9DE,2023-12-04,2023-12-04 17:51:17,Sondage Produit Service Client,101436,How likely are you to recommend MEDFAR to a colleague?,8,,2023-10-02T17:00:11.810Z,Specialist,Practician,CA,QC,1,1
ccsmtl,ccsmtl_CDDC2379-AC23-435F-B489-4A32443574C7,2023-12-04,2023-12-04 21:25:29,Sondage Produit Service Client,101436,How likely are you to recommend MEDFAR to a colleague?,5,,2023-10-23T14:32:28.400Z,Specialist,Practician,CA,QC,1,1
chanclinic,chanclinic_D4EE40EF-DA62-4A09-B179-C99B4527D6F5,2023-12-02,2023-12-02 03:54:43,Sondage Produit Service Client,101436,How likely are you to recommend MEDFAR to a colleague?,3,,2023-09-27T21:28:51.820Z,GeneralPractitioner,Practician,CA,BC,1,1
whistler360health,whistler360health_8A70A21C-DCC7-489E-826A-3A633F1C6186,2023-12-01,2023-12-01 16:45:05,Sondage Training  DT,95966,How likely are you to recommend MEDFAR to a colleague?,8,,2023-11-06T19:27:08.803Z,GeneralPractitioner,Practician,CA,BC,1,1
whistler360health,whistler360health_DB728D34-6142-4E1F-AC50-8624918E9188,2023-12-01,2023-12-01 16:25:22,Sondage Training  DT,95966,How likely are you to recommend MEDFAR to a colleague?,2,,2023-11-06T19:20:22.857Z,GeneralPractitioner,Practician,CA,BC,1,1
whistler360health,whistler360health_C901B052-F5A1-41C1-A514-C5831F7C7192,2023-12-01,2023-12-01 16:17:41,Sondage Training  DT,95966,How likely are you to recommend MEDFAR to a colleague?,6,,2023-11-01T04:25:15.477Z,GeneralPractitioner,Practician,CA,BC,1,1
amc,amc_2CBFF622-C673-4C8A-ABFC-FD4CB585395A,2023-12-01,2023-12-01 13:32:07,Sondage Produit Service Client,101436,How likely are you to recommend MEDFAR to a colleague?,1,,2023-09-18T16:13:50.143Z,GeneralPractitioner,Practician,CA,BC,1,1
cmmascouche,cmmascouche_2B14D149-34C1-4A5E-AE2F-22D692789F02,2023-12-01,2023-12-01 21:57:32,Sondage Produit Service Client,101436,How likely are you to recommend MEDFAR to a colleague?,5,,2023-09-27T22:18:37.327Z,MedicalOffice Assistant,Practician,CA,QC,1,1
cmvictoriaville,cmvictoriaville_5DD7F9E7-445D-486F-8425-D4561EFC27BC,2023-12-01,2023-12-01 13:00:52,Sondage Produit Service Client,101436,How likely are you to recommend MEDFAR to a colleague?,9,,2023-10-02T12:22:48.673Z,RegisteredNurse (Clinician),Practician,CA,QC,1,1
cmvictoriaville,cmvictoriaville_A7F96CB6-7556-4951-A208-D96B98277CD1,2023-12-01,2023-12-01 12:43:56,Sondage Produit Service Client,101436,How likely are you to recommend MEDFAR to a colleague?,8,,2023-10-31T17:00:07.817Z,RegisteredNurse (Clinician),Practician,CA,QC,1,1
cmvictoriaville,cmvictoriaville_39596317-DA7B-4D7D-A3F2-6D981F786568,2023-12-01,2023-12-01 13:20:53,Sondage Produit Service Client,101436,How likely are you to recommend MEDFAR to a colleague?,2,,2023-09-24T16:54:27.850Z,GeneralPractitioner,Practician,CA,QC,1,1
