Id,AccountName,EndUserID,Date(UTC),QuestionDate&Time(UTC),QuestionDate&Time(Eastern),SurveyName,SurveyID,Answer,AnswerFreetext,UserName,UserType,UserRole,UserStatus,UserInfo,Question,Unnamed: 16
,ccsmtl,ccsmtl_8991F0BE-078E-45A9-8602-097E4A4FC9DE,2023-12-04,2023-12-04 17:51:17,2023-12-04 13:51:17,Sondage Produit Service Client,101436,8,,2023-10-02T17:00:11.810Z,Specialist,Practician,CA,QC,How likely are you to recommend MEDFAR to a colleague?,
,ccsmtl,ccsmtl_CDDC2379-AC23-435F-B489-4A32443574C7,2023-12-04,2023-12-04 21:25:29,2023-12-04 17:25:29,Sondage Produit Service Client,101436,5,,2023-10-23T14:32:28.400Z,Specialist,Practician,CA,QC,How likely are you to recommend MEDFAR to a colleague?,
,ccsmtl,ccsmtl_75E2C48C-EBEE-48D0-88E2-13991E649D80,2023-12-05,2023-12-05 14:03:44,2023-12-05 10:03:44,Sondage Produit Service Client,101436,9,,2023-10-02T01:39:42.387Z,Specialist,Practician,CA,QC,How likely are you to recommend MEDFAR to a colleague?,
,ccsmtl,ccsmtl_87E0A0FA-E868-4E49-B923-7B70C70D3787,2023-12-05,2023-12-05 14:16:38,2023-12-05 10:16:38,Sondage Produit Service Client,101436,3,,2023-11-03T12:44:00.403Z,Specialist,Practician,CA,QC,How likely are you to recommend MEDFAR to a colleague?,
,ccsmtl,ccsmtl_9E3FE7E8-7FBB-4C40-8167-FF628B15E3C7,2023-12-05,2023-12-05 14:24:01,2023-12-05 10:24:01,Sondage Produit Service Client,101436,7,,2023-09-22T12:01:08.093Z,RegisteredNurse (Technician),Practician,CA,QC,How likely are you to recommend MEDFAR to a colleague?,
,drpwong,drpwong_EB243DED-BF60-4BFF-84DC-E636F8CBF317,2023-12-07,2023-12-07 16:56:23,2023-12-07 12:56:23,Sondage Training  DT,95966,10,,2023-11-23T18:00:15.937Z,MedicalOffice Assistant,Practician,CA,BC,How likely are you to recommend MEDFAR to a colleague?,
,drpwong,drpwong_E86175B7-441A-490B-B22C-5F098B3E48D1,2023-12-08,2023-12-08 16:46:42,2023-12-08 12:46:42,Sondage Training  DT,95966,5,,2023-11-20T22:31:35.997Z,GeneralPractitioner,Practician,CA,BC,How likely are you to recommend MEDFAR to a colleague?,
,gmfujr,gmfujr_A2BECBD8-2227-4610-9847-972047DB1E19,2023-12-10,2023-12-10 16:17:02,2023-12-10 12:17:02,Sondage Produit Service Client,101436,0,,2023-09-14T18:18:05.097Z,GeneralPractitioner,Practician,CA,QC,How likely are you to recommend MEDFAR to a colleague?,
,gmfujr,gmfujr_B6F3D760-9E3C-46E5-983E-7F771131E1E9,2023-12-10,2023-12-10 18:45:07,2023-12-10 14:45:07,Sondage Produit Service Client,101436,10,,2023-09-01T19:26:57.993Z,GeneralPractitioner,Practician,CA,QC,How likely are you to recommend MEDFAR to a colleague?,
,gmfujr,gmfujr_E7407319-B466-4C7B-A73B-6BE1B5A1A818,2023-12-10,2023-12-10 20:10:08,2023-12-10 16:10:08,Sondage Produit Service Client,101436,5,,2023-10-26T19:25:08.440Z,RegisteredNurse (Technician),Practician,CA,QC,How likely are you to recommend MEDFAR to a colleague?,
,drpwong,drpwong_2FD86C9C-D9C7-4CE5-B073-C20269D8809F,2023-12-11,2023-12-11 00:04:57,2023-12-10 20:04:57,Sondage Training  DT,95966,10,,2023-11-23T18:01:11.297Z,MedicalOffice Assistant,Practician,CA,BC,How likely are you to recommend MEDFAR to a colleague?,
,gmfujr,gmfujr_21D1E165-395F-4A85-A591-FF260FA565B9,2023-12-11,2023-12-11 02:58:16,2023-12-10 22:58:16,Sondage Produit Service Client,101436,8,,2023-07-13T18:45:24.887Z,GeneralPractitioner,Practician,CA,QC,How likely are you to recommend MEDFAR to a colleague?,
,gmfujr,gmfujr_FB484874-F125-4AB5-8931-6756329CD2AE,2023-12-11,2023-12-11 12:13:12,2023-12-11 08:13:12,Sondage Produit Service Client,101436,5,,2023-09-29T15:53:58.273Z,MedicalOffice Assistant,Practician,CA,QC,How likely are you to recommend MEDFAR to a colleague?,
,gmfujr,gmfujr_DDDD35D4-44FE-444D-A066-AE0D51E874A1,2023-12-11,2023-12-11 12:34:42,2023-12-11 08:34:42,Sondage Produit Service Client,101436,0,,2023-09-12T17:06:19.250Z,GeneralPractitioner,Practician,CA,QC,How likely are you to recommend MEDFAR to a colleague?,
,gmfujr,gmfujr_340359DA-95B2-4A65-9A67-66014A1A8047,2023-12-11,2023-12-11 12:47:31,2023-12-11 08:47:31,Sondage Produit Service Client,101436,6,,2023-09-07T18:59:01.930Z,MedicalOffice Assistant,Practician,CA,QC,How likely are you to recommend MEDFAR to a colleague?,
,gmfujr,gmfujr_0B95F70F-6401-410D-9675-D83F7D8F0D83,2023-12-11,2023-12-11 13:28:45,2023-12-11 09:28:45,Sondage Produit Service Client,101436,8,,2023-09-08T18:22:23.483Z,GeneralPractitioner,Practician,CA,QC,How likely are you to recommend MEDFAR to a colleague?,
,kebaowek,kebaowek_D51AE8F6-3638-4866-82C6-FEA38E64CD16,2023-12-11,2023-12-11 14:58:36,2023-12-11 10:58:36,Sondage Training  DT,95966,7,,2023-11-27T14:12:50.113Z,MedicalOffice Assistant,Practician,CA,QC,How likely are you to recommend MEDFAR to a colleague?,
,gmfujr,gmfujr_227875FD-E8FE-4416-A5CF-DBB2C138E804,2023-12-11,2023-12-11 18:19:41,2023-12-11 14:19:41,Sondage Produit Service Client,101436,1,,2023-10-28T17:45:44.237Z,RegisteredNurse (Technician),Practician,CA,QC,How likely are you to recommend MEDFAR to a colleague?,
,kebaowek,kebaowek_B1BBD65C-2DF9-4B3F-AFEE-6294F80BF77B,2023-12-12,2023-12-12 16:10:59,2023-12-12 12:10:59,Sondage Training  DT,95966,7,,2023-11-27T14:01:23.517Z,MedicalOffice Assistant,Practician,CA,QC,How likely are you to recommend MEDFAR to a colleague?,
,ccomtl,ccomtl_828EE340-3F2E-4032-94B7-80412B06339C,2023-12-12,2023-12-12 16:44:00,2023-12-12 12:44:00,Sondage Training  DT,95966,10,,2023-11-09T19:26:23.110Z,MedicalOffice Assistant,Practician,CA,QC,How likely are you to recommend MEDFAR to a colleague?,
,shhc,shhc_71103B52-7AC5-4EBD-ACF3-1DD2D9EDF80C,2023-12-12,2023-12-12 16:44:34,2023-12-12 12:44:34,Sondage Produit Service Client,101436,6,,2023-10-10T15:47:33.270Z,GeneralPractitioner,Practician,CA,BC,How likely are you to recommend MEDFAR to a colleague?,
,shhc,shhc_A86DA589-AEFC-445E-AC98-88A8E6ECCB2B,2023-12-12,2023-12-12 17:03:16,2023-12-12 13:03:16,Sondage Produit Service Client,101436,3,,2023-10-13T16:08:10.777Z,GeneralPractitioner,Practician,CA,BC,How likely are you to recommend MEDFAR to a colleague?,
,shhc,shhc_CA8873E0-2AEB-4B89-8DB5-E1D3205E1B3B,2023-12-12,2023-12-12 19:45:11,2023-12-12 15:45:11,Sondage Produit Service Client,101436,5,,2023-09-22T16:44:02.070Z,GeneralPractitioner,Practician,CA,BC,How likely are you to recommend MEDFAR to a colleague?,
,gmfujr,gmfujr_716A0B19-57F5-4178-A123-AFC1C41C887E,2023-12-12,2023-12-12 22:05:08,2023-12-12 18:05:08,Sondage Produit Service Client,101436,7,,2023-10-10T18:18:50.727Z,MedicalOffice Assistant,Practician,CA,QC,How likely are you to recommend MEDFAR to a colleague?,
,shhc,shhc_4EBEED24-396A-47B9-AC4D-B1C81375EEA3,2023-12-12,2023-12-12 23:53:11,2023-12-12 19:53:11,Sondage Produit Service Client,101436,1,,2023-06-07T19:35:57.560Z,MedicalOffice Assistant,Practician,CA,BC,How likely are you to recommend MEDFAR to a colleague?,
,shhc,shhc_B79C2FF9-C55D-418D-84FE-DB1323C4DA64,2023-12-13,2023-12-13 02:01:41,2023-12-12 22:01:41,Sondage Produit Service Client,101436,0,,2023-07-19T17:04:29.093Z,MedicalOffice Assistant,Practician,CA,BC,How likely are you to recommend MEDFAR to a colleague?,
,petittrot,petittrot_49690EA0-739A-46AD-B6CB-96394592BF0A,2023-12-13,2023-12-13 12:44:09,2023-12-13 08:44:09,Sondage Produit Service Client,101436,8,,2023-09-05T14:03:34.093Z,MedicalOffice Assistant,Practician,CA,QC,How likely are you to recommend MEDFAR to a colleague?,
,gmfujr,gmfujr_340EFF52-E3E5-4494-9DED-09ED8DDCA6E5,2023-12-13,2023-12-13 13:26:10,2023-12-13 09:26:10,Sondage Produit Service Client,101436,7,,2023-09-08T18:54:28.650Z,GeneralPractitioner,Practician,CA,QC,How likely are you to recommend MEDFAR to a colleague?,
,gmfujr,gmfujr_E522785E-8CC3-4FE6-9B0F-AA89A63A0213,2023-12-13,2023-12-13 14:01:10,2023-12-13 10:01:10,Sondage Produit Service Client,101436,5,,2023-09-06T21:24:29.750Z,GeneralPractitioner,Practician,CA,QC,How likely are you to recommend MEDFAR to a colleague?,
,shhc,shhc_474CCCC4-1282-4D35-813B-F9D8D7B69CFC,2023-12-13,2023-12-13 15:54:53,2023-12-13 11:54:53,Sondage Produit Service Client,101436,7,,2023-07-08T05:41:29.070Z,Specialist,Practician,CA,BC,How likely are you to recommend MEDFAR to a colleague?,
,shhc,shhc_A0AA6592-300E-4C72-9ADD-93EAA7C5E24E,2023-12-13,2023-12-13 16:50:33,2023-12-13 12:50:33,Sondage Produit Service Client,101436,6,,2023-10-06T21:22:13.250Z,GeneralPractitioner,Practician,CA,BC,How likely are you to recommend MEDFAR to a colleague?,
,shhc,shhc_E1BAFBDB-F7C1-4CDB-9DB4-26817D1218C9,2023-12-13,2023-12-13 21:25:10,2023-12-13 17:25:10,Sondage Produit Service Client,101436,6,,2023-10-12T18:46:33.117Z,GeneralPractitioner,Practician,CA,BC,How likely are you to recommend MEDFAR to a colleague?,
,shhc,shhc_B4559258-BDEC-4C50-85F5-37FB4666A24E,2023-12-13,2023-12-13 23:24:06,2023-12-13 19:24:06,Sondage Produit Service Client,101436,6,,2023-10-11T20:59:40.893Z,GeneralPractitioner,Practician,CA,BC,How likely are you to recommend MEDFAR to a colleague?,
